sites.sitename,lat,lon,mean
Malu,34.6,103.5,87.2
Malua Forest Reserve,5.333611,117.4406,109.95
Manasi,44.3,86.2,137.3
Manaus,-2.58,-50.1,350.0
Manaus 2,-2.5,-60.0,162.0
Manaus 3,-2.97,-60.18,180.0
Manaus 4,-3.1,-60.03,237.0
Mangkang,29.6,98.5,86.8
Mangui,51.07,121.27,44.3
Maniqi,53.0,122.4,56.6
Maoxian,31.6,103.8,113.6
Mati,25.9,110.1,106.8
Mazateca,18.15,-96.9,46.6
Meathop,54.21,-2.89,60.36
Mengkeshan,52.6,124.2,54.9
Metolius 1,44.4371,-121.5679,11.79
Metolius 10,44.4982,-121.6249,122.26
Metolius 11,44.4222,-121.6066,156.96
Metolius 2,44.4508,-121.6908,2.25
Metolius 3,44.4327,-121.6104,3.82
Metolius 4,44.4277,-121.5852,36.47
Metolius 5,44.4373,-121.587,52.58
Metolius 6,44.4513,-121.5575,68.96
Metolius 7,44.434,-121.6701,107.99
Metolius 8,44.4526,-121.6691,54.46
Metolius 9,44.4634,-121.6634,142.29
Metolius Old Pine,44.49889,-121.6236,110.715
Metolius young,44.43,-121.57,5.79
"Milin Picea, Abies",29.2,94.1,120.2
Milin Pinus,29.2,94.1,54.9
Mill City South 1,44.644,-122.4507,0.84
Mill City South 2,44.6886,-122.4967,50.09
Mill City South 3,44.6358,-122.4955,100.46
Mill City South 4,44.7248,-122.4212,159.67
Mill City South 6,44.7019,-122.5,241.11
Minamata Forest-P2,32.17,130.58,188.8
Minnesota,47.5,-93.5,34.300000000000004
Miquan,43.9,87.7,116.8
Mixe,17.01667,-95.9,7.6
Miyaluo,31.6,102.8,136.0
Miyazu-Beech,35.62,135.18,83.0
Miyazu-Cedar,35.62,135.18,184.0
Miyazu-Oak,35.63,135.17,104.0
Mohe,52.47,122.53,28.1
Monte Novo,38.46667,-8.633333,62.0
Monte di Mezzo,41.75,14.88,79.6
Montpelier,38.21518,-78.16126,151.5
Morgan Monroe State Forest (MMSF),39.31667,-86.41667,87.2
Mount Jefferson 1,44.7035,-121.873,3.67
Mount Jefferson 2,44.6877,-121.8699,2.67
Mount Jefferson 3,44.7004,-121.8761,124.34
Mount Jefferson 4,44.6882,-121.865,309.51
Mount Jefferson 5,44.6958,-121.8698,275.64
Mount Norikura,36.13,137.43,44.0
Mt Kasuga,34.68,135.85,130.73
Mt Odaigahara,34.69,135.83,153.5
Mt. Ailao Nature Reserve,24.53,101.02,499.0
Mt. Asama,36.33,138.55,242.02
Mt. Disappointment,-37.42,145.17,146.81
Mt. Dongling,39.95167,115.4275,68.71666666666667
Mt. Makiling Forest Reserve,14.12806,121.2289,170.85
Mt. Takao,34.4,132.52,66.55000000000001
Mt. Worak National Park,36.85472,129.0781,67.095
Mulei,43.8,90.3,68.3
"Muli Picea, Abies",27.9,101.2,106.0
Muli Quercus,27.9,101.2,121.6
Murphy Preserve,39.24431,-81.01198,124.0
Musella 1,45.43,28.55,30.2
Musella 2,45.45,28.69,46.5
Muzhong,28.7,96.7,59.5
NSW south coast,-37.0,149.5,218.0
Nacetin,50.58,13.25,73.4
Nanshan,43.03,87.13,88.7
Nanwonghe,51.4,125.2,71.5
Neleger-L200,62.3,129.5,52.72
Neleger-L5,62.2,129.1,0.34
Nelson,-41.52,172.75,166.0
"New Brunswick, FNP",45.66,-65.16667,44.354615384615386
New South Wales south coast 1,-35.6,149.88,270.0
New South Wales south coast 2,-35.47,150.11,447.0
Niah River Chronosequence III,3.583,113.583,17.58666666666667
Nielamu,28.1,85.9,143.6
Nilsen_2013_csaf research site in Eidsberg Municipality Norway,59.83333,11.41667,151.28333333333333
"Ninglang Picea, Abies 1",27.53,100.6,160.9
"Ninglang Picea, Abies 2",27.32,100.66,86.4
Ninglang Pinus 1,27.1,100.59,195.8
Ninglang Pinus 2,27.75,100.54,62.4
Ninglang Pinus 3,27.67,100.66,46.8
Ninglang Pinus 4,27.82,100.6,49.8
Nobeyama,35.96,138.47,78.0
Nodebo,55.0,12.0,4.2
Noe woods,43.03,-89.4,125.0
Noh_2013_cand research site in South Korea,37.78361,127.1769,87.69999999999999
Noormets_2010_rocf research site in North Carolina USA,35.8,-76.6667,53.6
Northern Rondonia State,-8.75,-63.38,143.0
Norunda,60.09,17.48,112.725
O site,44.5,-121.617,108.08
"ORCASC,H. J. Andrews,RS01",44.202,-122.257,283.9
"ORCASC,H. J. Andrews,RS02",44.217,-122.243,314.9
"ORCASC,H. J. Andrews,RS03",44.26,-122.159,411.5
"ORCASC,H. J. Andrews,RS07",44.213,-122.148,407.9
"ORCASC,H. J. Andrews,RS10",44.213,-122.217,307.3
"ORCASC,H. J. Andrews,RS12",44.227,-122.122,605.9
"ORCASC,H. J. Andrews,RS15",44.212,-122.236,521.2
"ORCASC,H. J. Andrews,RS16",44.214,-122.241,422.1
"ORCASC,H. J. Andrews,RS20",44.222,-122.249,253.7
"ORCASC,H. J. Andrews,RS22",44.274,-122.14,328.2
"ORCASC,H. J. Andrews,RS23",44.227,-122.123,359.0
"ORCASC,H. J. Andrews,RS27",44.254,-122.175,615.3
"ORCASC,H. J. Andrews,RS29",44.231,-122.146,550.5
"ORCASC,H. J. Andrews,RS31",44.262,-122.181,498.4
"ORCOAST,Cascade Head,CH01",45.062,-123.99,391.4
"ORCOAST,Cascade Head,CH03",45.044,-123.901,472.0
"ORCOAST,Cascade Head,CH04",45.065,-123.941,498.6
"ORCOAST,Cascade Head,CH05",45.065,-123.942,531.1
"ORCOAST,Cascade Head,CH07",45.063,-123.939,432.1
"ORCOAST,Cascade Head,CH08",45.065,-123.944,380.3
"ORCOAST,Cascade Head,CH10",45.06,-123.99,472.9
"ORCOAST,Cascade Head,CH12",45.049,-123.898,405.5
"OREAST,Metolius RNA,MRNA",44.488,-121.631,82.5
"OREAST,Pringle Falls RNA,PF27",43.707,-121.609,66.9
"OREAST,Pringle Falls RNA,PF28",43.709,-121.603,77.0
"OREAST,Pringle Falls RNA,PF29",43.706,-121.613,107.0
Oak Ridge,35.99,-84.29,81.55
Oak ridge liriodendron,35.92,-84.28,62.88
Oregon,44.0,-122.67,440.0
Oregon Cascades,44.0,-122.5,331.0
Oregon Cascades 1 (cool temperate montane),44.0,-122.5,356.0
Oregon Cascades 2 (cool temperate montane),44.0,-122.5,587.0
Oregon coast,45.0,-123.93,436.0
Oulu,66.37,29.0,51.0
Oved,55.7,13.63,148.05
Parco Naturale Paneveggio Pale di San Martino-abandoned meadow,46.05,11.11,0.0
Parco Naturale Paneveggio Pale di San Martino-regenerating forest,46.05,11.11,65.83333333333333
Parco Naturale Paneveggio Pale di San Martino-undisturbed forest,46.05,11.11,207.0
Parque Municipal do Bacaba-Cerradao,-14.683,-52.333,54.8
Parque Municipal do Bacaba-Cerrado,-14.683,-52.333,22.7
Pasoh Forest Reserve,2.966,102.3,206.26999999999998
Peak Woods,40.13543,-75.07578,241.0
Pegoes,38.63333,-8.6,69.5
Penas Blancas,9.333333,-79.83333,122.2
Perloja Experimental Station,54.16667,24.41667,0.4
Ping Kong,19.5,99.0,146.0
Podocarpus 1,-4.12,-78.97,138.1
Podocarpus 2,-4.11,-78.97,81.4
Porce,6.75,-75.1,111.6
"Potomac-Garrett S.F., Crabtree Woods",39.48378,-79.17976,137.7
Prince Albert SSA (SOAS),53.629,-106.2,117.62
Prince Albert SSA (SOBS),53.987,-105.12,49.913333333333334
Prince Albert SSA (SOJP),53.916,-104.692,24.424999999999997
Prince Albert SSA (SYJP),53.92,-104.68,12.26
Puechabon,43.74,3.59,54.24
Qianshan,40.5,123.2,57.2
Qilian,37.47,101.21,55.7
Qinling,33.9,107.7,63.1
Qiqian,52.2,120.8,64.6
Qiuxiang,33.58,103.28,92.3
Red Pine Chronosequence 02,47.083,-88.65,0.21
Red Pine Chronosequence 03,46.5,-87.9,0.53
Red Pine Chronosequence 05,45.517,-87.87,4.71
Red Pine Chronosequence 08,46.5,-87.9,9.89
Red Pine Chronosequence 12,46.25,-87.95,18.61
Red Pine Chronosequence 17,47.1,-88.683,41.89
Red Pine Chronosequence 22,46.25,-88.95,53.39
Red Pine Chronosequence 33,46.3,-87.93,118.2
Red Pine Chronosequence 55,47.1,-88.683,87.94
Reserva Biologica San Francisco 1,-3.98,-79.1,84.07
Reserva Biologica San Francisco 2,-3.99,-79.1,47.77
Rilonggou 1,30.9,102.4,55.8
Rilonggou 2,30.9,102.4,83.4
Rio Branco,-10.12,-68.0,95.0
Roccarespampani,42.4,11.92,0.16
Roccarespampani 1,42.4081,11.93,6.91
Roccarespampani 2,42.3903,11.9209,24.08
Rocky Mt. NP (cool temperate montane),40.28,-105.63,124.0
Rondonia,-9.2,-60.05,195.0
Rongyu,28.7,96.7,56.2
"Rothrock S.F., Allan Seeger Natural Area",40.69591,-77.75418,115.6
"Rothrock S.F., Detweiler Run Natural Area",40.7171,-77.7466,142.5
Rovaniemi,66.34,25.5,77.0
Roxton Falls,45.56972,-72.53111,40.91
Rudolph Family Farm,39.23722,-78.5336,210.0
Ruo'ergai,33.76,103.34,74.1
S1-Casteller,46.02,11.14,42.0
S10-Bondone,46.02,11.06,46.0
S11-Renon,46.59,11.43,54.0
S2-Toblino,46.06,10.98,77.0
S3-Mattarello,46.02,11.15,44.0
S4-Lagolo P,46.03,11.0,80.0
S5-Lagolo B,46.04,11.01,63.0
S6-Brigolina B,46.07,11.08,75.0
S7-Brigolina S,46.06,11.07,159.0
S8-Vaneze,46.05,11.06,119.0
S9-Lavaronne,45.96,11.28,119.0
SAVAFLUX-S1,9.0,-64.0,4.22
SAVAFLUX-S2,9.0,-64.0,0.8
SAVAFLUX-S3,9.0,-64.0,2.65
SAVAFLUX-S4,9.0,-64.0,10.43
SETRES,34.63,-79.2,17.8525
SMEAR II,61.85,24.28333,4.467
Saddler Woods,39.90046,-75.05795,249.8
Sambong Exhibition Forests,35.46,127.64,41.035714285714285
San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols),1.93,-67.05,126.72
San Eusebio,8.62,-71.35,166.89
San Francisco Mountains,35.42,-111.67,20.766666666666666
San Lorenzo CTFS-ForestGEO plot,9.2815,-79.974,144.9275
San Pablo de Tregua,-39.63,-72.08,385.5
Santiam Pass,44.42,-121.8,177.74
Sardinilla,9.316667,-79.63333,1.25
"Savage River S.F., Turkey Lodge",39.62002,-79.11046,130.8
Savanna sites within 65km of Darwin,-12.4634,130.8456,33.6
Schacht,50.06,11.83,130.8
Schanze,50.15,11.87,46.38
Schobertreuth,50.15,11.87,30.35
Scio,44.68,-122.6,195.98
Scituate Watershed,41.8,-71.62,54.36
Shangbaozuo 1,34.2,102.93,86.3
Shangbaozuo 2,33.27,103.82,72.1
Shangbaozuo 3,33.28,103.66,72.8
Shangbaozuo 4,33.52,103.3,80.7
Shangbaozuo 5,33.5,103.57,86.9
Shangbaozuo 6,33.52,103.54,118.6
Shangbaozuo 7,33.52,105.4,157.9
Shawan,44.3,85.6,82.1
Shennongjia,31.7,110.6,53.5
Shigayama,36.67,138.5,90.48
Shisanling,40.2726,116.2251,34.97353333333333
"Sichuan Picea, Abies",32.0,103.0,149.7
"Sichuan Populus, Betula",32.98,104.19,48.4
Siwaliks,33.0,73.0,132.39333333333332
Skogaby,56.55,13.21,58.4
Skyttorp1,60.13,17.92,2.11
Skyttorp2,60.13,17.84,56.72
Skyttorp3,60.12,17.82,73.1
Slash pine Florida mid,29.73,-82.15,22.85
Slash pine Florida rotation-aged,29.73,-82.15,82.71
"Smithsonian Environmental Research Center (SERC), Frog Canyon",38.88478,-76.55362,219.7
"Smithsonian Environmental Research Center (SERC), Hog Island",38.87833,-76.55165,194.0
Songfan,32.6,103.6,124.3
Soro,55.48694,11.64583,98.86
Soroe,55.49,11.65,83.15
South China Botanical Garden,23.333,113.5,16.887500000000003
Southern Appalachians,35.68,-83.42,236.0
Southern Finland,61.65,29.28,28.0
"Southern Karelian Spruce, Site 1",62.0,34.0,13.695
"Southern Karelian Spruce, Site 10",62.0,34.0,24.125
"Southern Karelian Spruce, Site 11",62.0,34.0,40.655
"Southern Karelian Spruce, Site 12",62.0,34.0,56.41
"Southern Karelian Spruce, Site 13",62.0,34.0,61.435
"Southern Karelian Spruce, Site 14",62.0,34.0,80.495
"Southern Karelian Spruce, Site 15",62.0,34.0,83.28999999999999
"Southern Karelian Spruce, Site 16",62.0,34.0,90.545
"Southern Karelian Spruce, Site 17",62.0,34.0,85.62
"Southern Karelian Spruce, Site 2",62.0,34.0,24.49
"Southern Karelian Spruce, Site 3",62.0,34.0,27.520000000000003
"Southern Karelian Spruce, Site 4",62.0,34.0,31.805
"Southern Karelian Spruce, Site 5",62.0,34.0,35.71
"Southern Karelian Spruce, Site 6",62.0,34.0,16.759999999999998
"Southern Karelian Spruce, Site 7",62.0,34.0,20.265
"Southern Karelian Spruce, Site 8",62.0,34.0,12.1
"Southern Karelian Spruce, Site 9",62.0,34.0,24.62
St. Isidore,46.5804,-71.08841,78.79
Susser Schlag,50.15,11.87,110.32
Suzano,-18.03333,-39.86667,44.05
"Sweetbriar College, Carry Sanctuary",37.55574,-79.07461,121.4
"Sweetbriar College, Constitution Oaks",37.55705,-79.07084,142.3
Sylvania,46.24,-89.34,126.98
Tablelands Juniper Savanna,34.43,-105.86,15.8
Tahe Larix,52.3,124.7,34.0
Tahe Pinus sylvestris var. mongolica,52.3,124.7,53.0
Taihe County,26.73333,115.0667,0.0
Takayama,36.14617,137.4231,74.23
Takayama Forest Research Station,36.12,137.3833,29.7
Tambopata-Candamo Reserve permanent plot TAM-05,-12.83029,-69.27053,142.2
Tambopata-Candamo Reserve permanent plot TAM-06,-12.8385,-69.296,112.1
Tampere,61.28,23.44,102.0
Tanguro,-13.08,-52.3858,66.5
Tapajos 1,-2.85,-54.97,153.0
Tapajos 2,-2.85,-54.97,141.0
Tapajos NF near km 67 on BR-163,-2.856661,-54.95891,145.55
Tapajos km 67,-2.85,-54.967,144.35
Tharandt,50.96,13.57,126.32499999999999
Tharandt 24,50.91,13.46,32.41
Tharandt 42,50.93,13.48,102.73
Tharandt 5,50.93,13.48,0.46
Tharandt 97,50.93,13.46,110.74
Thompson NSA (NOAS),55.9,-98.47,59.925
Thompson NSA (NOBS),55.879,-98.484,57.21
Thompson NSA (NOJP),55.9,-98.47,43.445
Thompson NSA (NYJP),55.9,-98.47,19.349999999999998
Thompson Seattle,47.38,-121.95,81.92
Thompson dry chronosequence,55.8,-97.87,72.0
Thompson wet chronosequence,55.8,-97.87,31.0
Thong Pha Phum NF,14.67,98.68,85.33333333333333
Tianchi,44.2,88.0,81.9
Tianshan,43.3,88.3,91.9
Toa Baja experiment station,18.45,-66.16667,27.333333333333332
Tomsk 1,58.0,83.0,24.69
Tomsk 10,58.0,83.0,110.87
Tomsk 11,58.0,83.0,34.94
Tomsk 2,58.0,83.0,65.53
Tomsk 3,58.0,83.0,91.51
Tomsk 4,58.0,83.0,163.39
Tomsk 5,58.0,83.0,40.7
Tomsk 6,58.0,83.0,98.94
Tomsk 7,58.0,83.0,79.24
Tomsk 8,58.0,83.0,75.18
Tomsk 9,58.0,83.0,103.95
Tongariro National Park,-39.08333,175.75,26.816666666666666
Tranquilla,9.333333,-79.83333,117.1
Triangle site,36.0,-79.0,43.54
Tu_2011_ssnd research site in Liujiang China,30.0,103.6333,127.0
Tura,64.2,100.45,11.38
Turkey Point-TP02,42.66094,-80.55952,4.095
Turkey Point-TP39,42.70978,-80.3574,112.955
Turkey Point-TP74,42.70681,-80.34831,52.34
Turkey Point-TP89,42.77442,-80.45878,39.629999999999995
Tyler,30.6,-94.4,76.7
UCI-1930,55.90583,-98.52472,46.0
UCI-1964,55.91167,-98.38222,18.7
UCI-1981,55.86306,-98.485,18.5
UCI-1989,55.91667,-98.96444,12.6
UCI-1998,56.63583,-99.94833,1.0
UCI-2003,55.89806,-98.21611,0.2
UMBS harvest and fire chronosequence,45.59167,-84.71667,34.7
Ulu Segama FR,4.416667,117.4833,165.0
University Forest,44.92,-68.68,79.2
University of Alaska-Fairbanks,64.87,-147.85,2.71
University of Michigan Biological Station-54BURN,45.55,-84.7,20.0
University of Michigan Biological Station-GRTR,45.55,-84.7,45.0
University of Michigan Biological Station-HIFE,45.55,-84.7,26.0
University of Michigan Biological Station-LOFE,45.55,-84.7,7.0
University of Michigan Biological Station-UPGR,45.55,-84.7,40.0
Valles Caldera Mixed Conifer,35.89,-106.53,133.0
Valles Caldera Ponderosa Pine,35.86,-106.6,76.4
Vancouver Island DF49,49.86883,-125.3351,105.5
Vancouver Island HDF00,49.86697,-125.2788,27.75
Vancouver Island HDF88,49.53625,-124.902,57.0
Veracel,-16.35,-39.56667,64.3
Vielsalm,50.31,6.0,115.92
Virelles,50.07,4.35,56.87
"WACASC,Mt. Rainier NP,AB08",46.919,-121.538,265.1
"WACASC,Mt. Rainier NP,AE10",46.768,-121.742,342.4
"WACASC,Mt. Rainier NP,AG05",46.748,-121.803,346.9
"WACASC,Mt. Rainier NP,AO03",46.827,-121.551,196.0
"WACASC,Mt. Rainier NP,AV02",46.823,-121.551,379.6
"WACASC,Mt. Rainier NP,AV06",46.777,-121.783,487.9
"WACASC,Mt. Rainier NP,AV14",46.96,-121.843,338.9
"WACASC,Mt. Rainier NP,TO04",46.741,-121.887,378.7
"WACASC,Mt. Rainier NP,TO11",46.995,-121.88,349.2
"WACASC,Wind River,MUNA",45.828,-121.989,542.9
"WACOAST,Olympic Peninsula,HR",47.779,-123.908,359.05
"WACOAST,Olympic Peninsula,HS02",47.429,-123.873,313.5
"WACOAST,Olympic Peninsula,HS03",47.43,-123.873,331.9
"WACOAST,Olympic Peninsula,HS04",47.834,-123.99,368.2
Waldo Lake (cool dry),43.5,-122.0,158.0
Waldstein 2 Picea abies,50.15,11.87,105.0
Walker Branch,35.95833,-84.2875,78.3875
Walker Branch (WB) Forest,35.95,-84.283,93.4
Walker Branch_2,35.97,-84.28,57.06
Walker Branch_3,35.97,-84.28,64.81
Walker Branch_4,35.97,-84.28,51.04
Wallaby Creek,-37.4259,145.1878,183.46666666666667
"Wandashan Populus, Betula",46.8,134.0,55.1
Wangtai,26.47,117.95,287.20000000000005
Warings Woods,44.6,-123.22,226.17
Washington 1,47.0,-122.67,422.0
Washington 2,46.0,-122.0,278.0
Washington Cascades 2 (cool temperate montane),46.8,-121.7,224.0
Wayqecha,-13.19,-71.59,86.2
Weber River,41.33,-112.0,5.8133333333333335
Weidong,52.3,124.7,86.0
Weixi 1,27.45,98.96,119.5
Weixi 2,27.53,98.96,65.1
Weixi 3,27.53,99.2,139.6
Weixi 4,27.36,99.34,121.1
Weixi 5,27.1,99.2,112.7
Weixi 8,27.1,107.8,120.1
Werner_2006_ncac research site in China,21.96,101.2,268.0
Wet-114,50.45,11.45,137.33
Wet-33,50.45,11.45,80.46
Wet-6,50.45,11.45,11.19
Wet-67,50.45,11.45,94.12
Wet-9,50.45,11.45,51.95
Wet-T-57,50.45,11.46,97.97
Wildfire-regenerating Jack Pine Chronosequence 12,44.717,-84.483,2.9
Wildfire-regenerating Jack Pine Chronosequence 14,44.45,-84.267,10.4
Wildfire-regenerating Jack Pine Chronosequence 22,44.6,-84.05,25.1
Wildfire-regenerating Jack Pine Chronosequence 27,44.717,-84.417,24.0
Wildfire-regenerating Jack Pine Chronosequence 36,44.433,-84.233,40.4
Wildfire-regenerating Jack Pine Chronosequence 52,44.55,-84.35,43.5
Wildfire-regenerating Jack Pine Chronosequence 7,44.5,-84.3,0.4
Wildfire-regenerating Jack Pine Chronosequence 72,44.57,-84.4,48.8
Willow Creek (WC)-Chequamegon National Forest,45.783,-90.083,74.9
Wisconsin (cool dry),45.5,-89.33,286.0
Wolongwan 1,30.9,103.1,113.5
Wolongwan 2,30.9,103.1,45.5
Wudaogou,50.2,126.4,60.4
Xiachayu,28.4,97.0,155.0
Xianmi,37.27,101.95,61.0
Xiaojin 1,30.9,102.33,112.9
Xiaojin 2,30.9,102.3,67.3
Xiaolongshan Mountain,33.91056,106.1956,61.167500000000004
Xiaomohe,43.2,84.6,214.7
Xiaoshennongjia,31.0,110.3,55.3
Xiaoxing'anling,49.5,128.4,49.8
Xingdoushan,30.3,108.9,136.5
Xingjiangling,33.2,107.5,56.3
Xinkou Experimental Forestry Centre-Xiaohu,26.19,117.43,191.0566666666667
Xinlong,30.9,100.3,191.2
Xishuangbanna,21.95,101.025,138.0
Xu (1988),52.5,124.5,22.0
Xueka,29.9,93.8,112.3
Y site,44.433,-121.567,44.160000000000004
Yajiang,30.0,101.0,86.7
Yakutsk 1,60.85,128.27,55.0
Yakutsk 2,60.85,128.27,18.0
Yakutsk-IFL,62.3,129.5,0.5
Yakutsk-IFS,62.22,129.17,0.62
Yakutsk-SFL,62.3,129.5,0.38
Yakutsk-SFS,62.22,129.17,0.33
Yamashiro Experimental Forest,34.78,135.85,52.18
Yangyu,37.3,101.6,84.0
Yatir,31.347,35.052,16.830000000000002
Yele,28.5,102.1,120.3
Yellowstone National Park (YNP),44.6,-110.5,23.869999999999997
Yenisei 12vu/v,60.75767,89.37867,13.104
Yenisei 14lh/lw,60.72,89.13,0.492
Yenisei 14lu,60.74467,89.43867,2.46
Yenisei 26lh/lw,60.74483,89.43833,2.232
Yenisei 28lu,60.72433,89.148,7.08
Yenisei 2lu,60.72,89.13,0.0
Yenisei 31lu,60.72783,89.15633,11.292
Yenisei 48lh/lw,60.74117,89.38017,15.3
Yenisei 53vm/v,60.72,89.13,33.624
Yenisei 67lm/ld,60.7225,89.14133,38.796
Yenisei 95lu,60.75767,89.41083,65.412
Yenisei 95vm/v,60.72867,89.32233,57.42
Yenisei/Zotino,60.72,89.13,76.525
Yonghe,33.33,104.15,59.0
Yongsheng 1,26.45,100.89,147.3
Yongsheng 2,26.45,100.76,50.8
Yoshiwa,34.18,132.13,113.25
"Yunlong Picea, Abies",26.14,99.38,103.4
Yunlong Pinus 1,26.3,99.32,86.5
Yunlong Pinus 2,26.15,99.08,97.6
Yusuhara kubotaniyama,33.33,133.0,266.45
Yusuhara takatoriyama,33.33,133.0,235.71
"Zhangmu Picea, Abies",27.9,85.9,138.3
Zhangmu Quercus,27.9,85.9,57.5
Zhanwa,34.25,102.92,52.2
Zhaosu,43.1,81.1,142.4
"Zhongdian Picea, Abies",27.7,99.7,123.0
Zhongdian Quercus,27.7,99.7,90.5
Zhongtie,35.02,100.05,113.0
"Zhuwagen Picea, Abies",28.6,97.4,223.0
Zhuwagen Quercus,28.6,97.4,92.8
Zotino,60.73,89.15,75.0
Zuogong,29.6,97.8,91.9
central Highlands of Victoria,-37.62,145.79,1053.0
central Victoria (warm temperate moist),-37.43,145.18,678.0
"montane, south east Aust.",-35.37,148.83,199.0
northern Finland (boreal dry forest),69.73,27.02,14.0
northern NSW 1,-28.5,153.0,182.0
northern NSW 2,-30.33,152.64,298.0
southern NSW & Vict.,-37.26,148.71,294.0
southern Poland,50.47,22.98,68.0
southern Queensland,-27.33,152.75,224.0
southern Tasmania 1,-43.21,146.7,444.0
southern Tasmania 2,-43.09,146.7,668.0
southern Tasmania 3,-42.83,146.57,752.0
